DATE,BUSLOANS
1981-03-01,314.3933
1981-04-01,318.5024
1981-05-01,324.08
1981-06-01,328.1726
1981-07-01,331.8571
1981-08-01,336.523
1981-09-01,338.1155
1981-10-01,341.1989
1981-11-01,345.5088
1981-12-01,350.3077
1982-01-01,354.8455
1982-02-01,360.7137
1982-03-01,363.9746
1982-04-01,371.0565
1982-05-01,375.9823
1982-06-01,380.5642
1982-07-01,384.0437
1982-08-01,385.8593
1982-09-01,391.0385
1982-10-01,392.3917
1982-11-01,391.9751
1982-12-01,392.0419
1983-01-01,393.1864
1983-02-01,393.3556
1983-03-01,393.8048
1983-04-01,392.4259
1983-05-01,391.4906
1983-06-01,393.8395
1983-07-01,397.7945
1983-08-01,401.5866
1983-09-01,402.529
1983-10-01,405.7486
1983-11-01,409.6174
1983-12-01,413.9404
1984-01-01,415.6054
1984-02-01,423.5808
1984-03-01,430.9463
1984-04-01,437.8374
1984-05-01,446.3183
1984-06-01,450.9723
1984-07-01,455.8009
1984-08-01,458.7925
1984-09-01,461.9148
1984-10-01,466.3545
1984-11-01,470.9618
1984-12-01,473.3524
1985-01-01,472.9425
1985-02-01,475.7257
1985-03-01,480.2894
1985-04-01,478.9276
1985-05-01,480.7541
1985-06-01,482.3154
1985-07-01,487.0547
1985-08-01,489.8754
1985-09-01,494.3841
1985-10-01,493.2885
1985-11-01,497.0694
1985-12-01,498.7928
1986-01-01,500.404
1986-02-01,500.9354
1986-03-01,505.4201
1986-04-01,507.5379
1986-05-01,507.9082
1986-06-01,511.2493
1986-07-01,513.0011
1986-08-01,515.0766
1986-09-01,517.6764
1986-10-01,517.6232
1986-11-01,523.8424
1986-12-01,539.1283
1987-01-01,548.7899
1987-02-01,547.0426
1987-03-01,548.3616
1987-04-01,549.4652
1987-05-01,551.5342
1987-06-01,554.5378
1987-07-01,553.4095
1987-08-01,554.1029
1987-09-01,561.3048
1987-10-01,563.1293
1987-11-01,562.5101
1987-12-01,565.0529
1988-01-01,567.086
1988-02-01,568.3048
1988-03-01,571.403
1988-04-01,577.3698
1988-05-01,583.8123
