DATE,HOUST,3m growth rate,12m growth rate
1992-12-01,1227.0,14.561711927402545,13.716404077849864
1993-01-01,1210.0,-10.492390218788929,2.8911564625850428
1993-02-01,1210.0,-1.311457671173344,-3.200000000000003
1993-03-01,1083.0,-39.30742333310769,-16.499614494988435
1993-04-01,1258.0,16.837184557611074,14.46769790718836
1993-05-01,1260.0,17.581961066497676,3.789126853377267
1993-06-01,1280.0,95.13090199672916,11.79039301310043
1993-07-01,1254.0,-1.2658068385134835,10.096575943810372
1993-08-01,1300.0,13.315998179643865,6.035889070146827
1993-09-01,1343.0,21.189270734824284,13.237774030354132
1993-10-01,1392.0,51.83321744843581,11.897106109324751
1993-11-01,1376.0,25.516357178530203,13.344316309719929
1993-12-01,1533.0,69.77141513389455,24.938875305623466
1994-01-01,1272.0,-30.27452137127957,5.123966942148761
1994-02-01,1337.0,-10.864256074502432,10.495867768595035
1994-03-01,1564.0,8.33739171254071,44.41366574330563
1994-04-01,1465.0,75.95517871137143,16.454689984101755
1994-05-01,1526.0,69.70416664735275,21.111111111111104
1994-06-01,1409.0,-34.12858730329131,10.078125000000004
1994-07-01,1439.0,-6.912219182875612,14.752791068580539
1994-08-01,1450.0,-18.48193270587072,11.538461538461542
1994-09-01,1474.0,19.7694241988549,9.75428145941921
1994-10-01,1450.0,3.0929182087788165,4.166666666666674
1994-11-01,1511.0,17.919559567210253,9.811046511627897
1994-12-01,1455.0,-5.057199201139905,-5.088062622309197
1995-01-01,1407.0,-11.344765925825806,10.61320754716981
1995-02-01,1316.0,-42.46055086721056,-1.5706806282722474
1995-03-01,1249.0,-45.700256234137406,-20.140664961636833
1995-04-01,1267.0,-34.244805034744374,-13.515358361774743
1995-05-01,1314.0,-0.6065183425683851,-13.892529488859761
1995-06-01,1281.0,10.648814565946662,-9.08445706174592
1995-07-01,1461.0,76.80494366280908,1.5288394718554477
1995-08-01,1416.0,34.85639706337904,-2.344827586206899
1995-09-01,1369.0,30.44194730553229,-7.1234735413839845
1995-10-01,1369.0,-22.90735810603204,-5.586206896551726
1995-11-01,1452.0,10.563926109818777,-3.9046988749172784
1995-12-01,1431.0,19.383619694628184,-1.6494845360824795
1996-01-01,1467.0,31.858054251416192,4.264392324093813
1996-02-01,1491.0,11.18446440943417,13.297872340425542
1996-03-01,1424.0,-1.942363273721437,14.011208967173738
1996-04-01,1516.0,14.045026330361644,19.65272296764009
1996-05-01,1504.0,3.533470299927788,14.459665144596645
1996-06-01,1467.0,12.636850433933343,14.519906323185005
1996-07-01,1472.0,-11.113780581923749,0.7529089664613187
1996-08-01,1557.0,14.858490732148445,9.957627118644075
1996-09-01,1475.0,2.1992305127538803,7.74287801314828
1996-10-01,1392.0,-20.03025685791218,1.6800584368152016
1996-11-01,1489.0,-16.358013122612203,2.5482093663911742
1996-12-01,1370.0,-25.57579788536464,-4.262753319357094
1997-01-01,1355.0,-10.215733345444244,-7.634628493524199
1997-02-01,1486.0,-0.8034776854924486,-0.3353454057679395
1997-03-01,1457.0,27.925151052531326,2.31741573033708
1997-04-01,1492.0,47.00026298455449,-1.58311345646438
1997-05-01,1442.0,-11.328142976720578,-4.122340425531911
1997-06-01,1494.0,10.551383727066344,1.8404907975460016
1997-07-01,1437.0,-13.94982062068708,-2.377717391304346
1997-08-01,1390.0,-13.662760333729809,-10.725754656390496
1997-09-01,1546.0,14.666239087070563,4.813559322033889
1997-10-01,1520.0,25.183554603754345,9.195402298850585
1997-11-01,1510.0,39.26711792909248,1.410342511752849
1997-12-01,1566.0,5.275926587635493,14.30656934306569
1998-01-01,1525.0,1.3222961053447555,12.54612546125462
1998-02-01,1584.0,21.09129391210043,6.594885598923295
1998-03-01,1567.0,0.2556726084910643,7.549759780370624
1998-04-01,1540.0,3.9928567257128345,3.217158176943702
1998-05-01,1536.0,-11.581294200878467,6.518723994452147
1998-06-01,1641.0,20.2702845112706,9.839357429718865
1998-07-01,1698.0,47.79776281687833,18.16283924843425
1998-08-01,1614.0,21.912786760367453,16.115107913669057
1998-09-01,1582.0,-13.62429752219959,2.3285899094437346
1998-10-01,1715.0,4.065255271015844,12.828947368421062
1998-11-01,1660.0,11.896945255956016,9.933774834437092
1998-12-01,1792.0,64.63649233795326,14.431673052362704
1999-01-01,1748.0,7.921808813752418,14.62295081967213
1999-02-01,1670.0,2.4314999734188047,5.429292929292928
1999-03-01,1710.0,-17.085130742810417,9.125717932354815
1999-04-01,1553.0,-37.69540035032696,0.8441558441558472
1999-05-01,1611.0,-13.400322022852574,4.8828125
1999-06-01,1559.0,-30.9124138427908,-4.99695307739183
1999-07-01,1669.0,33.39499153221508,-1.7078916372202602
1999-08-01,1648.0,9.50820688372538,2.106567534076831
1999-09-01,1635.0,20.972475326849672,3.3501896333754777
1999-10-01,1608.0,-13.837392978816808,-6.239067055393588
1999-11-01,1648.0,0.0,-0.7228915662650603
1999-12-01,1708.0,19.09141006691575,-4.6875
2000-01-01,1636.0,7.1492214256014375,-6.407322654462244
2000-02-01,1737.0,23.415709524149907,4.011976047904198
