DATE,PPIACO,3m growth rate,12m growth rate
1990-05-01,114.6,0.7011366680715669,1.2367491166077604
1990-06-01,114.3,0.350723030492639,1.2400354295836857
1990-07-01,114.5,1.4096698977272617,1.507092198581561
1990-08-01,116.5,6.798519160177241,4.01785714285714
1990-09-01,118.4,15.138850141362605,5.3380782918149405
1990-10-01,120.8,23.89272076405704,7.092198581560294
1990-11-01,120.1,12.945342873257124,6.5661047027506525
1990-12-01,118.7,1.0173720606108327,5.044247787610612
1991-01-01,119.0,-5.828365485658793,3.5683202785030455
1991-02-01,117.2,-9.314381966324367,2.447552447552437
1991-03-01,116.2,-8.162165136863841,1.7513134851138368
1991-04-01,116.0,-9.709073109880508,1.6652059596844904
1991-05-01,116.5,-2.3677597366074776,1.6579406631762605
1991-06-01,116.4,0.6902476552812953,1.8372703412073532
1991-07-01,116.1,0.3452737402659611,1.3973799126637543
1991-08-01,116.2,-1.026071037903209,-0.2575107296137302
1991-09-01,116.1,-1.0269491329018998,-1.9425675675675769
1991-10-01,116.4,1.0376048064648202,-3.6423841059602613
1991-11-01,116.4,0.6902476552812953,-3.080766028309734
1991-12-01,115.9,-0.6872826783302255,-2.3588879528222417
1992-01-01,115.6,-2.720928870338535,-2.857142857142858
1992-02-01,116.0,-1.367501250452252,-1.0238907849829393
1992-03-01,116.1,0.692038942106632,-0.0860585197934638
1992-04-01,116.3,2.4442347319771685,0.2586206896551646
1992-05-01,117.2,4.2025842769706,0.6008583690987113
1992-06-01,118.0,6.708533217840529,1.3745704467353903
1992-07-01,117.9,5.617616266319492,1.5503875968992276
1992-08-01,117.7,1.7174360706133651,1.2908777969018903
1992-09-01,118.0,0.0,1.636520241171402
1992-10-01,118.1,0.6802696577407064,1.4604810996563522
1992-11-01,117.8,0.3402804243030077,1.2027491408934665
1992-12-01,117.6,-1.349053200610284,1.4667817083692691
1993-01-01,118.0,-0.3382660818765926,2.076124567474058
1993-02-01,118.4,2.05296986781216,2.0689655172413834
1993-03-01,118.7,3.7943202049402815,2.239448751076667
1993-04-01,119.3,4.480139900150237,2.579535683576961
1993-05-01,119.7,4.464755486369576,2.1331058020477744
1993-06-01,119.5,2.723248578580195,1.2711864406779627
1993-07-01,119.2,-0.3348678518087289,1.1026293469041493
1993-08-01,118.7,-3.3000445075550777,0.8496176720475868
1993-09-01,118.7,-2.651053793822533,0.5932203389830581
1993-10-01,119.1,-0.3351484276469585,0.8467400508044065
1993-11-01,119.0,1.0147910311132824,1.018675721561979
1993-12-01,118.6,-0.336558389086683,0.8503401360544283
1994-01-01,119.1,0.0,0.9322033898305104
1994-02-01,119.3,1.0122230642964247,0.7601351351351315
1994-03-01,119.7,3.761883259130805,0.8424599831508006
1994-04-01,119.7,2.030392113426993,0.3352891869237373
1994-05-01,119.9,2.026962614077865,0.1670843776107045
1994-06-01,120.5,2.7002701548320074,0.8368200836819994
1994-07-01,120.7,3.3837970494916103,1.2583892617449743
1994-08-01,121.2,4.407992851168463,2.1061499578769904
1994-09-01,121.0,1.6701100441240735,1.9376579612468303
1994-10-01,120.9,0.6644495430202957,1.5113350125944613
1994-11-01,121.5,0.9937811900285308,2.1008403361344463
1994-12-01,121.9,3.008565972174493,2.7824620573355885
1995-01-01,122.9,6.783051679436802,3.1905961376994307
1995-02-01,123.5,6.748730432902916,3.5205364626990754
1995-03-01,123.9,6.726041847656683,3.5087719298245723
1995-04-01,124.6,5.648816837713988,4.093567251461971
1995-05-01,124.9,4.612100682620368,4.170141784820691
1995-06-01,125.3,4.596959052856353,3.983402489626564
1995-07-01,125.3,2.2661990388580966,3.81110190555094
1995-08-01,125.1,0.6420525134761101,3.2178217821782207
1995-09-01,125.2,-0.3188518786644834,3.4710743801652955
1995-10-01,125.3,0.0,3.639371381306855
1995-11-01,125.4,0.962688610594653,3.2098765432098775
1995-12-01,125.7,1.6070389459768908,3.1173092698933536
1996-01-01,126.3,3.2307584674851286,2.766476810414975
1996-02-01,126.2,2.57635761916486,2.1862348178137703
1996-03-01,126.4,2.246202048622692,2.0177562550443895
1996-04-01,127.4,3.529546056787214,2.2471910112359605
1996-05-01,128.1,6.15955743542882,2.562049639711761
1996-06-01,128.0,5.160243440828727,2.154828411811649
1996-07-01,128.0,1.89718035245714,2.154828411811649
1996-08-01,128.3,0.6259761804354724,2.557953637090349
1996-09-01,128.2,0.6264663702249207,2.396166134185296
1996-10-01,128.0,0.0,2.154828411811649
1996-11-01,128.2,-0.3114049797481533,2.2328548644338087
1996-12-01,129.1,2.837821568958842,2.704852824184556
1997-01-01,129.7,5.419275152720471,2.692003167062551
