DATE,TB3MS,3m growth rate,12m growth rate
1976-08-01,5.14,-4.536115660341055,-20.18633540372672
1976-09-01,5.08,-22.25619566176788,-20.87227414330218
1976-10-01,4.92,-21.683430538594827,-17.4496644295302
1976-11-01,4.75,-27.06735526885926,-13.321167883211682
1976-12-01,4.35,-46.23468696923639,-20.03676470588237
1977-01-01,4.62,-22.24873007660589,-5.133470225872694
1977-02-01,4.67,-6.568551102462372,-4.303278688524593
1977-03-01,4.6,25.04729422767187,-8.000000000000007
1977-04-01,4.54,-6.748568107038711,-6.584362139917699
1977-05-01,4.96,27.250408063610344,-4.615384615384621
1977-06-01,5.02,41.83504207746538,-7.208872458410365
1977-07-01,5.19,70.78354338135927,-0.7648183556405397
1977-08-01,5.49,50.09377195292457,6.809338521400798
1977-09-01,5.81,79.427770578919,14.370078740157478
1977-10-01,6.16,98.45105738996946,25.20325203252034
1977-11-01,6.1,52.41579027587249,28.421052631578945
1977-12-01,6.07,19.13798066772973,39.5402298850575
1978-01-01,6.44,19.45948022676045,39.393939393939405
1978-02-01,6.45,25.00273592987245,38.11563169164882
1978-03-01,6.29,15.304914337947428,36.73913043478263
1978-04-01,6.29,-8.996286955392396,38.54625550660793
1978-05-01,6.41,-2.4576398735357885,29.23387096774195
1978-06-01,6.73,31.056231312995,34.06374501992033
1978-07-01,7.01,54.26574117330718,35.06743737957609
1978-08-01,7.08,48.83357465663536,28.96174863387977
1978-09-01,7.85,85.10509382946594,35.111876075731494
1978-10-01,7.99,68.77769265561761,29.707792207792206
1978-11-01,8.64,121.77977531576394,41.6393442622951
1978-12-01,9.08,79.0048372580541,49.58813838550247
1979-01-01,9.35,87.5250656753997,45.186335403726694
1979-02-01,9.32,35.39688705926729,44.49612403100775
1979-03-01,9.48,18.8201114146445,50.715421303656605
1979-04-01,9.46,4.789580584523723,50.39745627980923
1979-05-01,9.61,13.039414991324394,49.921996879875174
1979-06-01,9.06,-16.578222103055452,34.62109955423476
1979-07-01,9.24,-8.98282760535054,31.811697574893017
1979-08-01,9.52,-3.6938009243858714,34.46327683615817
1979-09-01,10.26,64.46619782416325,30.700636942675153
1979-10-01,11.7,157.07246511759814,46.43304130162702
1979-11-01,11.79,135.23797209417648,36.4583333333333
1979-12-01,12.04,89.63413044958604,32.599118942731266
1980-01-01,12.0,10.657674001627935,28.342245989304814
1980-02-01,12.86,41.54960245327239,37.98283261802573
1980-03-01,15.2,154.02028800756705,60.337552742616026
1980-04-01,13.2,46.409999999999926,39.53488372093021
1980-05-01,8.58,-80.18540148533674,-10.718002081165444
1980-06-01,7.07,-95.31938086860326,-21.96467991169978
1980-07-01,8.06,-86.09905124318988,-12.770562770562766
1980-08-01,9.13,28.21355990924341,-4.09663865546217
1980-09-01,10.27,345.25019588611616,0.09746588693957392
1980-10-01,11.62,332.0005950220437,-0.6837606837606813
1980-11-01,13.73,411.445119653375,16.454622561492794
1980-12-01,15.49,417.51613735153865,28.6544850498339
1981-01-01,15.02,179.16130409564576,25.16666666666667
1981-02-01,14.79,34.64509808889598,15.007776049766708
1981-03-01,13.36,-44.6624201673688,-12.105263157894742
1981-04-01,13.69,-30.986498605113987,3.712121212121211
1981-05-01,16.3,47.52910972089948,89.97668997669
1981-06-01,14.73,47.76961942427911,108.34512022630834
1981-07-01,14.95,42.21682478594077,85.48387096774192
1981-08-01,15.51,-18.022102889981472,69.87951807228913
1981-09-01,14.7,-0.8121785385374891,43.13534566699124
1981-10-01,13.54,-32.716296745450094,16.523235800344228
1981-11-01,10.86,-75.96345128104178,-20.90313182811363
1981-12-01,10.85,-70.32097608506743,-29.954809554551332
1982-01-01,12.28,-32.34205388454111,-18.242343541944074
1982-02-01,13.48,137.3778914276817,-8.857336037863417
1982-03-01,12.68,86.53402499188138,-5.089820359281438
1982-04-01,12.7,14.398786225252236,-7.231555880204532
1982-05-01,12.09,-35.29383890464626,-25.828220858895712
1982-06-01,12.47,-6.461844925309334,-15.342837746096405
1982-07-01,11.35,-36.20765570085298,-24.080267558528423
1982-08-01,8.68,-73.43109247220914,-44.0361057382334
1982-09-01,7.92,-83.72822567123231,-46.12244897959184
1982-10-01,7.71,-78.70713669263347,-43.05760709010339
1982-11-01,8.07,-25.28372047725066,-25.690607734806626
1982-12-01,7.94,1.0139335956707465,-26.82027649769585
1983-01-01,7.86,8.012165192453358,-35.99348534201954
1983-02-01,8.11,1.9974414728280765,-39.83679525222552
1983-03-01,8.35,22.310542434274197,-34.148264984227126
1983-04-01,8.21,19.037129146485587,-35.35433070866141
1983-05-01,8.19,4.004514300896522,-32.25806451612904
1983-06-01,8.79,22.8031758470608,-29.51082598235767
1983-07-01,9.08,49.61349408621312,-19.999999999999996
1983-08-01,9.34,69.14216993416957,7.603686635944706
1983-09-01,9.0,9.904262788812268,13.636363636363647
1983-10-01,8.64,-18.019308764438456,12.062256809338523
1983-11-01,8.76,-22.619965368888995,8.550185873605942
1983-12-01,9.0,0.0,13.350125944584379
