DATE,PCE,3m growth rate,12m growth rate
2001-01-01,6987.4,5.542579290414307,6.793623622552691
2001-02-01,7001.8,5.433080775423993,5.682761535326697
2001-03-01,6996.7,2.585028219104224,4.639198384805199
2001-04-01,7004.2,0.965205154191362,4.867422257489773
2001-05-01,7052.8,2.945523982858256,5.1134924065159515
2001-06-01,7069.7,4.239166149986318,4.7844195111829135
2001-07-01,7082.3,4.535336681686775,4.636182315136295
2001-08-01,7121.7,3.965303728115188,4.687775621802781
2001-09-01,7007.0,-3.5006185222134723,1.7187817553639295
2001-10-01,7212.9,7.582682281145536,4.628796889959075
2001-11-01,7182.3,3.4473726126697635,3.9436742018582382
2001-12-01,7166.7,9.433031633161535,3.0853542763441766
2002-01-01,7184.6,-1.5601980645666311,2.822222858287793
2002-02-01,7225.2,2.410698326153482,3.190608129338157
2002-03-01,7243.4,4.350125187616283,3.525947946889252
2002-04-01,7312.5,7.3131987986235325,4.401644727449239
2002-05-01,7288.9,3.573457669031277,3.3476066243194103
2002-06-01,7322.5,4.440188341227369,3.575823585159199
2002-07-01,7387.3,4.154833347043896,4.306510596840019
2002-08-01,7412.6,6.9631768677064665,4.084698878076876
2002-09-01,7391.5,3.822815859386952,5.487369773084061
2002-10-01,7435.2,2.618975799813672,3.08197812253046
2002-11-01,7463.8,2.7916205731303823,3.9193573089400413
2002-12-01,7519.9,7.131685198317395,4.928349170468982
2003-01-01,7541.3,5.831329158412069,4.964785791832527
2003-02-01,7548.6,4.622640521765642,4.476000664341484
2003-03-01,7611.5,4.962156620270464,5.081867631222914
2003-04-01,7634.5,5.035843308444998,4.403418803418813
2003-05-01,7650.3,5.498968392618542,4.958224149048562
2003-06-01,7699.6,4.710841186285086,5.149880505291904
2003-07-01,7757.0,6.574368524324337,5.004534809741035
2003-08-01,7852.1,10.976091112928255,5.9290937053125825
2003-09-01,7853.7,8.249170222460855,6.2531285936548775
2003-10-01,7867.4,5.815614900317834,5.812890036582741
2003-11-01,7922.6,3.640054064137521,6.147002867172224
2003-12-01,7950.4,5.016777187812149,5.724810170348005
2004-01-01,8007.1,7.294159955020429,6.176653892564943
2004-02-01,8040.4,6.081511991563238,6.515115385634407
2004-03-01,8098.8,7.6779500990810545,6.402154634434742
2004-04-01,8107.2,5.095117033425956,6.191630100203027
2004-05-01,8176.5,6.944670004973341,6.878161640719971
2004-06-01,8157.6,2.9359147850875456,5.94836095381579
2004-07-01,8236.9,6.554458428450372,6.186670104421799
2004-08-01,8271.6,4.734155164710008,5.342519835458037
2004-09-01,8341.5,9.326889335112051,6.2110852209786405
2004-10-01,8397.1,8.009542575165106,6.732846937997317
2004-11-01,8444.5,8.626969075823698,6.587483906798264
2004-12-01,8504.4,8.043364234051253,6.968202857717842
2005-01-01,8497.7,4.878937416975981,6.127062232268865
2005-02-01,8559.1,5.539891110605577,6.451171583503323
2005-03-01,8598.4,4.495085047023206,6.1688151331061425
2005-04-01,8678.4,8.78100697536599,7.045589105979877
2005-05-01,8671.6,5.362130767976914,6.055158074970968
2005-06-01,8753.4,7.407972753883429,7.303618711385695
2005-07-01,8853.8,8.332851724320411,7.489468125144172
2005-08-01,8850.1,8.491512798247957,6.993810145558288
2005-09-01,8900.4,6.888504683564811,6.700233770904518
2005-10-01,8938.5,3.881867478791068,6.447464005430437
2005-11-01,8946.2,4.414713237105561,5.941145124045244
