DATE,PERMIT,3m growth rate,12m growth rate
1978-04-01,1948.0,57.0937174927296,17.34939759036145
1978-05-01,1766.0,7.093697597718163,5.875299760191854
1978-06-01,1983.0,47.62713906448914,13.184931506849317
1978-07-01,1786.0,-29.34058979705677,5.8684054534676955
1978-08-01,1691.0,-15.935693718675347,-5.000000000000004
1978-09-01,1751.0,-39.20697870498107,4.599761051373963
1978-10-01,1781.0,-1.1151271040301447,1.3083048919226403
1978-11-01,1795.0,26.964814143427795,1.3551665725578754
1978-12-01,1818.0,16.2066365314663,3.6488027366020415
1979-01-01,1461.0,-54.71595785794825,-16.034482758620694
1979-02-01,1492.0,-52.26713733911986,-14.055299539170507
1979-03-01,1720.0,-19.88049229816924,-4.39132851584213
1979-04-01,1597.0,42.76403063186882,-18.01848049281314
1979-05-01,1684.0,62.29048424398813,-4.643261608154026
1979-06-01,1640.0,-17.346432272600822,-17.297024710035302
1979-07-01,1534.0,-14.870168477136026,-14.109742441209406
1979-08-01,1591.0,-20.32677993342157,-5.913660555884093
1979-09-01,1638.0,-0.4869132772994611,-6.453455168475153
1979-10-01,1481.0,-13.120203371519334,-16.844469399213924
1979-11-01,1276.0,-58.626526934459264,-28.913649025069642
1979-12-01,1254.0,-65.64938188545433,-31.02310231023102
1980-01-01,1280.0,-44.20186998378266,-12.388774811772763
1980-02-01,1199.0,-22.039604286521183,-19.63806970509383
1980-03-01,988.0,-61.466573237171794,-42.55813953488372
1980-04-01,808.0,-84.12164291381836,-49.40513462742643
1980-05-01,861.0,-73.40892631842158,-48.87173396674584
1980-06-01,1118.0,63.960576192632026,-31.829268292682922
1980-07-01,1259.0,489.46425858066107,-17.92698826597132
1980-08-01,1367.0,535.4208372283391,-14.079195474544315
1980-09-01,1484.0,210.43336287966983,-9.401709401709402
1980-10-01,1366.0,38.57978300251634,-7.765023632680624
1980-11-01,1383.0,4.764624848757504,8.385579937304065
1980-12-01,1249.0,-49.82190727329579,-0.3987240829346095
1981-01-01,1221.0,-36.16485364943522,-4.609375000000004
1981-02-01,1199.0,-43.50786192026027,0.0
1981-03-01,1183.0,-19.519767006207857,19.736842105263165
1981-04-01,1190.0,-9.775353371049444,47.277227722772274
1981-05-01,1173.0,-8.39581480922692,36.2369337979094
1981-06-01,976.0,-53.67021421560189,-12.701252236135963
1981-07-01,935.0,-61.88827571845065,-25.734710087370928
1981-08-01,889.0,-67.00751746883259,-34.96708119970739
1981-09-01,847.0,-43.28024181272235,-42.92452830188679
1981-10-01,731.0,-62.638606652551054,-46.48609077598829
1981-11-01,748.0,-49.88135192854431,-45.91467823571945
1981-12-01,796.0,-21.99568460333895,-36.269015212169734
1982-01-01,794.0,39.19143167926451,-34.97133497133497
1982-02-01,808.0,36.1567108701953,-32.61050875729775
1982-03-01,891.0,56.98514020511385,-24.68300929839391
1982-04-01,888.0,56.44794157794615,-25.3781512605042
1982-05-01,953.0,93.5201355063793,-18.755328218243818
1982-06-01,913.0,10.248399640009788,-6.454918032786883
1982-07-01,1044.0,91.05135911482525,11.657754010695198
1982-08-01,926.0,-10.860058615093893,4.161979752530942
1982-09-01,1042.0,69.66324367264227,23.022432113341207
1982-10-01,1149.0,46.71621688892414,57.18194254445965
1982-11-01,1229.0,210.28700311254372,64.3048128342246
1982-12-01,1351.0,182.5859207454334,69.72361809045226
1983-01-01,1426.0,137.24550201988794,79.59697732997482
1983-02-01,1471.0,105.23109360969268,82.05445544554455
1983-03-01,1475.0,42.08449406134769,65.54433221099887
1983-04-01,1566.0,45.4416955297616,76.35135135135135
1983-05-01,1669.0,65.71989742274577,75.1311647429171
1983-06-01,1769.0,106.89178680821472,93.75684556407448
1983-07-01,1795.0,72.61986823628754,71.93486590038314
1983-08-01,1713.0,10.969621606789604,84.98920086393089
1983-09-01,1585.0,-35.55255054479306,52.111324376199605
1983-10-01,1716.0,-16.475992751587388,49.34725848563968
1983-11-01,1668.0,-10.101026392437172,35.72009764035802
1983-12-01,1627.0,11.02816075360298,20.429311621021462
1984-01-01,1816.0,25.427926459157568,27.34922861150071
1984-02-01,1987.0,101.37580208294494,35.078178110129166
1984-03-01,1725.0,26.359001638625344,16.94915254237288
1984-04-01,1776.0,-8.523725502298596,13.409961685823756
1984-05-01,1741.0,-41.0608842381219,4.313960455362498
1984-06-01,1814.0,22.29050354543467,2.543810062182028
1984-07-01,1605.0,-33.29962106858535,-10.584958217270191
1984-08-01,1530.0,-40.355467511939935,-10.683012259194392
1984-09-01,1523.0,-50.31211827660754,-3.9116719242902165
1984-10-01,1490.0,-25.724612421567915,-13.170163170163175
1984-11-01,1643.0,32.97944941299917,-1.4988009592326157
1984-12-01,1626.0,29.921956405319115,-0.06146281499692652
1985-01-01,1660.0,54.05907236248686,-8.590308370044053
1985-02-01,1662.0,4.706543705724364,-16.356316054353293
1985-03-01,1727.0,27.258612916717805,0.1159420289855051
1985-04-01,1664.0,0.967344836324946,-6.3063063063063085
1985-05-01,1709.0,11.8006099900533,-1.8380241240666284
1985-06-01,1716.0,-2.523532139792317,-5.402425578831316
1985-07-01,1697.0,8.171806211582467,5.73208722741434
1985-08-01,1808.0,25.26376289659902,18.16993464052288
1985-09-01,1916.0,55.42214016967459,25.804333552199598
1985-10-01,1743.0,11.291546957992615,16.979865771812076
1985-11-01,1692.0,-23.2978159769748,2.9823493609251406
1985-12-01,1794.0,-23.138698195542563,10.332103321033204
1986-01-01,1847.0,26.08924182561012,11.265060240963853
1986-02-01,1767.0,18.94460905280799,6.3176895306859215
1986-03-01,1780.0,-3.085166404907558,3.0689056166763207
1986-04-01,1858.0,2.4036076238280746,11.658653846153854
1986-05-01,1797.0,6.966087379110308,5.149210064365128
1986-06-01,1790.0,2.266199038858008,4.312354312354305
1986-07-01,1780.0,-15.764109648249548,4.8909840895698276
1986-08-01,1726.0,-14.891907469180854,-4.535398230088495
1986-09-01,1686.0,-21.29213043506557,-12.004175365344471
1986-10-01,1675.0,-21.588594908641767,-3.9013195639701626
1986-11-01,1644.0,-17.691613680411635,-2.8368794326241176
1986-12-01,1903.0,62.30237388288251,6.075808249721293
1987-01-01,1690.0,3.630495085608376,-8.500270709258261
1987-02-01,1689.0,11.406709073362189,-4.414261460101865
1987-03-01,1704.0,-35.712992745116324,-4.269662921348316
1987-04-01,1601.0,-19.45872335975194,-13.832077502691064
1987-05-01,1500.0,-37.79197149130358,-16.52754590984975
1987-06-01,1522.0,-36.35266146183922,-14.97206703910614
1987-07-01,1516.0,-19.604548692225656,-14.831460674157304
1987-08-01,1511.0,2.965758037353128,-12.456546929316337
1987-09-01,1514.0,-2.0859778798256734,-10.201660735468565
1987-10-01,1447.0,-17.000147747491113,-13.611940298507463
1987-11-01,1457.0,-13.546943977504778,-11.374695863746965
1987-12-01,1345.0,-37.71468908469833,-29.32212296374146
1988-01-01,1244.0,-45.37299417453057,-26.390532544378697
1988-02-01,1438.0,-5.1150491195514185,-14.860864416814678
1988-03-01,1525.0,65.26855783674552,-10.50469483568075
1988-04-01,1429.0,74.11949293316952,-10.743285446595873
1988-05-01,1444.0,1.6794594496118531,-3.733333333333333
1988-06-01,1485.0,-10.086181911232403,-2.431011826544016
1988-07-01,1439.0,2.8286799362654103,-5.079155672823221
1988-08-01,1460.0,4.5063428807747385,-3.375248180013235
1988-09-01,1436.0,-12.55963838192603,-5.151915455746369
1988-10-01,1516.0,23.18380915267881,4.76848652384243
1988-11-01,1508.0,13.813542978242952,3.5003431708991117
1988-12-01,1501.0,19.372697909746428,11.598513011152424
1989-01-01,1466.0,-12.55417568147632,17.84565916398715
1989-02-01,1383.0,-29.257019335730337,-3.8247566063977723
1989-03-01,1214.0,-57.20904510895972,-20.39344262295082
1989-04-01,1376.0,-22.38639529587289,-3.7088873337998596
1989-05-01,1381.0,-0.5771990705096708,-4.3628808864265896
1989-06-01,1322.0,40.62128870184025,-10.976430976430972
1989-07-01,1283.0,-24.41547469673767,-10.8408617095205
1989-08-01,1334.0,-12.933997691341526,-8.630136986301373
1989-09-01,1314.0,-2.3986914581957564,-8.495821727019504
1989-10-01,1365.0,28.12207982225845,-9.96042216358839
1989-11-01,1344.0,3.0323858378229263,-10.875331564986734
1989-12-01,1422.0,37.156667555571545,-5.263157894736848
1990-01-01,1748.0,168.92743379724334,19.236016371077767
1990-02-01,1329.0,-4.390103315026106,-3.90455531453362
1990-03-01,1246.0,-41.05136084848732,2.635914332784184
1990-04-01,1136.0,-82.16194033167355,-17.441860465116278
1990-05-01,1067.0,-58.45126995465216,-22.737146994931212
1990-06-01,1108.0,-37.47022409159803,-16.187594553706507
1990-07-01,1078.0,-18.911042341756566,-15.97817614964926
1990-08-01,1069.0,0.7518763909604376,-19.86506746626686
1990-09-01,976.0,-39.79393694687428,-25.722983257229835
1990-10-01,925.0,-45.78844215082151,-32.234432234432234
1990-11-01,941.0,-39.95903374063615,-29.985119047619047
1990-12-01,861.0,-39.4361695244237,-39.45147679324894
1991-01-01,786.0,-47.86573523315448,-55.03432494279177
1991-02-01,853.0,-32.4791919613413,-35.816403310759966
1991-03-01,911.0,25.33169180268373,-26.88603531300161
1991-04-01,916.0,84.45554297642042,-19.36619718309859
1991-05-01,991.0,82.17907526116007,-7.122774133083409
1991-06-01,964.0,25.381836773358167,-12.996389891696747
1991-07-01,973.0,27.312036844150462,-9.740259740259738
1991-08-01,944.0,-17.66331848969057,-11.693171188026197
1991-09-01,974.0,4.214390262997703,-0.2049180327868827
1991-10-01,991.0,7.607677193458517,7.135135135135129
1991-11-01,984.0,18.057183098696218,4.56960680127525
1991-12-01,1061.0,40.807474165082326,23.228803716608603
1992-01-01,1077.0,39.49806877987008,37.02290076335877
1992-02-01,1146.0,83.97468872655007,34.349355216881605
1992-03-01,1082.0,8.155225583704695,18.77058177826565
1992-04-01,1054.0,-8.272484542547742,15.065502183406121
1992-05-01,1056.0,-27.90299860092099,6.559031281533811
1992-06-01,1057.0,-8.926735057969093,9.647302904564325
1992-07-01,1089.0,13.959117005442923,11.921891058581702
1992-08-01,1075.0,7.39354643076473,13.8771186440678
1992-09-01,1114.0,23.37887733033568,14.373716632443534
1992-10-01,1132.0,16.754650567323324,14.228052472250251
1992-11-01,1118.0,16.98585600000002,13.617886178861793
1992-12-01,1176.0,24.19054232817439,10.838831291234685
1993-01-01,1177.0,16.874601733669216,9.28505106778088
1993-02-01,1148.0,11.17325926318291,0.17452006980802626
1993-03-01,1056.0,-34.98308094242976,-2.402957486136781
1993-04-01,1104.0,-22.59474562332012,4.743833017077792
1993-05-01,1112.0,-11.965764577683837,5.303030303030298
1993-06-01,1130.0,31.11672745783072,6.906338694418168
1993-07-01,1174.0,27.87807618780913,7.805325987144163
1993-08-01,1230.0,49.69293264813217,14.41860465116278
1993-09-01,1251.0,50.21574804887516,12.298025134649905
1993-10-01,1287.0,44.42480837026386,13.692579505300362
1993-11-01,1357.0,48.14907522719949,21.377459749552763
1993-12-01,1461.0,86.02513353621906,24.234693877551017
1994-01-01,1390.0,36.06455743128096,18.096856414613427
1994-02-01,1269.0,-23.523659575045976,10.540069686411147
1994-03-01,1342.0,-28.81160531668332,27.083333333333325
1994-04-01,1392.0,0.5767829320357798,26.086956521739136
1994-05-01,1396.0,46.45195880324149,25.539568345323737
1994-06-01,1357.0,4.5464588810472994,20.08849557522123
1994-07-01,1335.0,-15.40043660798015,13.713798977853497
1994-08-01,1377.0,-5.333986709019422,11.951219512195133
1994-09-01,1412.0,17.22477186697484,12.869704236610712
1994-10-01,1397.0,19.911424333877136,8.547008547008538
1994-11-01,1340.0,-10.322512431668809,-1.2527634487840777
1994-12-01,1396.0,-4.456117261223779,-4.449007529089666
1995-01-01,1282.0,-29.08036752941622,-7.7697841726618755
1995-02-01,1254.0,-23.304311139315796,-1.1820330969267157
1995-03-01,1226.0,-40.51325475855986,-8.64381520119225
1995-04-01,1259.0,-6.985464908916272,-9.554597701149426
1995-05-01,1271.0,5.533916638325365,-8.954154727793695
1995-06-01,1305.0,28.37491408915738,-3.831982313927784
1995-07-01,1354.0,33.77400732659195,1.4232209737827795
1995-08-01,1386.0,41.40693821109809,0.6535947712418277
1995-09-01,1421.0,40.58347203170243,0.6373937677053743
1995-10-01,1400.0,14.297698445436335,0.21474588403722628
1995-11-01,1430.0,13.315998179643865,6.7164179104477695
1995-12-01,1442.0,6.043665183077707,3.2951289398280847
1996-01-01,1387.0,-3.662870539332552,8.19032761310452
1996-02-01,1420.0,-2.767998059200083,13.237639553429027
1996-03-01,1437.0,-1.379765468675298,17.21044045676998
1996-04-01,1463.0,23.785980265467856,16.20333598093726
1996-05-01,1457.0,10.83701715760661,14.634146341463406
1996-06-01,1429.0,-2.2083345177485003,9.50191570881227
1996-07-01,1450.0,-3.507245409147175,7.090103397341219
1996-08-01,1413.0,-11.54335969076814,1.9480519480519431
1996-09-01,1392.0,-9.961546711163304,-2.0408163265306145
1996-10-01,1358.0,-23.06444858219574,-3.0000000000000027
1996-11-01,1412.0,-0.2827852596306579,-1.2587412587412583
1996-12-01,1411.0,5.572574864727464,-2.1497919556171974
1997-01-01,1382.0,7.258839160176889,-0.36049026676280294
1997-02-01,1445.0,9.68130308372983,1.760563380281699
1997-03-01,1436.0,7.277761951856876,-0.06958942240778976
1997-04-01,1421.0,11.774861281273964,-2.8708133971291905
1997-05-01,1414.0,-8.309097072207095,-2.9512697323267
1997-06-01,1402.0,-9.139673121267222,-1.889433170048982
1997-07-01,1440.0,5.456573636802409,-0.6896551724137945
1997-08-01,1449.0,10.274704844256766,2.547770700636942
1997-09-01,1494.0,28.946730650063344,7.3275862068965525
1997-10-01,1499.0,17.42391690089522,10.382916053019153
1997-11-01,1469.0,5.63641188973294,4.0368271954674295
1997-12-01,1456.0,-9.792403832179453,3.1892274982282087
1998-01-01,1555.0,15.80172854701114,12.518089725036186
1998-02-01,1647.0,58.01096067839704,13.979238754325252
1998-03-01,1605.0,47.65720623824783,11.768802228412255
1998-04-01,1547.0,-2.042051482009344,8.866995073891616
1998-05-01,1554.0,-20.744454189696803,9.90099009900991
1998-06-01,1551.0,-12.793863910525616,10.627674750356642
1998-07-01,1610.0,17.31194878072646,11.805555555555557
1998-08-01,1654.0,28.332886604826847,14.147688060731545
1998-09-01,1577.0,6.875850074002732,5.555555555555558
1998-10-01,1719.0,29.95709735041554,14.676450967311538
1998-11-01,1672.0,4.42466039467293,13.818924438393454
1998-12-01,1742.0,48.89010266241076,19.64285714285714
1999-01-01,1732.0,3.0595030506330945,11.382636655948563
1999-02-01,1720.0,11.987279688977528,4.432301153612639
1999-03-01,1665.0,-16.5426964795113,3.738317757009346
1999-04-01,1600.0,-27.173677517703,3.4259857789269654
1999-05-01,1640.0,-17.346432272600822,5.534105534105538
1999-06-01,1702.0,9.18959914647155,9.73565441650548
1999-07-01,1682.0,22.13047191430666,4.472049689440993
1999-08-01,1671.0,7.778071250112428,1.0278113663845234
1999-09-01,1551.0,-31.03813972335946,-1.6487000634115456
1999-10-01,1649.0,-7.619851351919493,-4.072134962187324
1999-11-01,1672.0,0.2395925851004676,0.0
1999-12-01,1683.0,38.64023078557794,-3.386911595866815
2000-01-01,1727.0,20.305844960288574,-0.28868360277136684
2000-02-01,1692.0,4.871225332134599,-1.6279069767441867
2000-03-01,1651.0,-7.391291185253213,-0.8408408408408397
2000-04-01,1597.0,-26.877620701162364,-0.187499999999996
2000-05-01,1543.0,-30.8388399031296,-5.914634146341468
2000-06-01,1572.0,-17.809452439866536,-7.638072855464162
2000-07-01,1542.0,-13.080377733254512,-8.323424494649224
2000-08-01,1552.0,2.353609682124169,-7.121484141232792
2000-09-01,1570.0,-0.5079354815246129,1.2250161186331487
2000-10-01,1577.0,9.392935981177164,-4.366282595512427
2000-11-01,1614.0,16.962664652084626,-3.468899521531099
2000-12-01,1543.0,-6.703555201721279,-8.3184789067142
2001-01-01,1699.0,34.72455015452911,-1.621308627678053
2001-02-01,1656.0,10.822312506190212,-2.127659574468088
2001-03-01,1659.0,33.63549905502743,0.48455481526348265
2001-04-01,1666.0,-7.545836663246663,4.320601127113344
2001-05-01,1665.0,2.1916994584926908,7.9066753078418595
2001-06-01,1626.0,-7.722329823565966,3.435114503816794
2001-07-01,1598.0,-15.353869110139296,3.6316472114137577
2001-08-01,1615.0,-11.481681529945842,4.059278350515472
2001-09-01,1565.0,-14.182629665530389,-0.31847133757961776
2001-10-01,1566.0,-7.772607338578608,-0.6975269499048808
2001-11-01,1651.0,9.218997618124568,2.2924411400247813
2001-12-01,1680.0,32.7943994956182,8.878807517822418
2002-01-01,1665.0,27.78795509811957,-2.0011771630370823
2002-02-01,1787.0,37.24923010592245,7.910628019323673
2002-03-01,1691.0,2.644882873974197,1.9288728149487566
2002-04-01,1669.0,0.9644294328958524,0.18007202881151763
2002-05-01,1716.0,-14.970245724074404,3.063063063063054
2002-06-01,1758.0,16.815656101273046,8.11808118081181
2002-07-01,1738.0,17.590907422809956,8.760951188986233
2002-08-01,1695.0,-4.8059780621974575,4.9535603715170184
2002-09-01,1803.0,10.638791647896294,15.207667731629403
2002-10-01,1799.0,14.79568527755706,14.878671775223506
2002-11-01,1771.0,19.177819328952506,7.268322228952151
2002-12-01,1896.0,22.28422208483472,12.857142857142856
2003-01-01,1808.0,2.0161785553691303,8.588588588588596
2003-02-01,1854.0,20.10599197137928,3.749300503637376
