DATE,NOCDFSA066MSFRBPHI,3m growth rate,12m growth rate
1989-03-01,29.4,153.49280527746575,137.09677419354836
1989-04-01,14.7,-87.04,-11.976047904191622
1989-05-01,16.1,-57.15588281611891,-31.48936170212765
1989-06-01,0.0,-100.0,-100.0
1989-07-01,-7.9,-91.65859849228336,-132.64462809917353
1989-08-01,-3.7,-99.72106475569711,-116.97247706422019
1989-09-01,-1.4,inf,-104.38871473354232
1989-10-01,1.5,-99.8700259442336,-95.81005586592178
1989-11-01,5.1,260.97224304635506,-85.34482758620689
1989-12-01,15.1,1353204.8755726784,-35.1931330472103
1990-01-01,6.1,27249.80938271604,-75.10204081632654
1990-02-01,-8.5,671.6049382716051,-142.71356783919597
1990-03-01,-13.8,-30.23966516818376,-146.9387755102041
1990-04-01,0.7,-99.98265905263536,-95.23809523809523
1990-05-01,-13.0,447.1390428754444,-180.74534161490683
1990-06-01,-3.5,-99.58623301785876,-inf
1990-07-01,-6.3,656000.0,-20.253164556962034
1990-08-01,-18.0,267.55015580686944,386.4864864864865
1990-09-01,-30.0,539675.0937109536,2042.8571428571431
1990-10-01,-30.1,52007.92562109438,-2106.6666666666665
1990-11-01,-19.8,46.41000000000004,-488.2352941176471
1990-12-01,-23.5,-62.348140432098766,-255.6291390728477
1991-01-01,-20.3,-79.3120161132514,-432.78688524590166
1991-02-01,-15.2,-65.2692956740472,78.8235294117647
1991-03-01,-2.0,-99.99475375541968,-85.5072463768116
1991-04-01,-0.2,-99.99999905781576,-128.57142857142858
1991-05-01,10.1,-80.50554297627349,-177.69230769230768
1991-06-01,11.4,105460.01,-425.7142857142857
1991-07-01,16.3,4411948406.25,-358.73015873015873
1991-08-01,29.8,7478.435543410984,-265.5555555555556
1991-09-01,14.6,169.02461452968788,-148.66666666666666
1991-10-01,4.3,-99.51569003537256,-114.28571428571428
1991-11-01,0.5,-99.99999207471367,-102.52525252525253
1991-12-01,-11.1,-66.58969102170799,-52.76595744680852
1992-01-01,-4.5,19.94336610993157,-77.83251231527095
1992-02-01,12.4,37827320.16,-181.57894736842107
1992-03-01,9.8,-39.240752344286825,-590.0
1992-04-01,20.2,40502.74753238836,-10199.999999999998
1992-05-01,11.3,-31.03527110848045,11.881188118811892
1992-06-01,14.7,406.2499999999997,28.94736842105261
1992-07-01,20.5,6.0742491877385785,25.766871165644154
1992-08-01,19.0,699.2830990990402,-36.241610738255034
1992-09-01,22.7,468.6356577862748,55.47945205479452
1992-10-01,0.5,-99.99996461130294,-88.37209302325581
1992-11-01,21.4,60.93136301900688,4180.0
1992-12-01,19.5,-45.54534427486716,-275.6756756756757
1993-01-01,28.7,1085544245.76,-737.7777777777777
1993-02-01,29.7,270.9972614751093,139.51612903225805
1993-03-01,14.4,-70.26201603585308,46.93877551020407
1993-04-01,19.8,-77.3466114470124,-1.9801980198019709
1993-05-01,14.3,-94.6257439678158,26.54867256637168
1993-06-01,6.4,-96.09815576893766,-56.4625850340136
1993-07-01,3.4,-99.9130529388728,-83.41463414634146
1993-08-01,3.0,-99.80629498307282,-84.21052631578947
1993-09-01,10.2,545.1798439025875,-55.06607929515419
1993-10-01,9.7,6524.777077022546,1839.9999999999998
1993-11-01,21.8,278730.935308642,1.869158878504673
1993-12-01,31.2,8654.224686007114,59.999999999999986
1994-01-01,24.1,3710.493571047982,-16.02787456445992
1994-02-01,16.9,-63.88223698770064,-43.0976430976431
1994-03-01,25.9,-52.51234979515837,79.8611111111111
1994-04-01,22.0,-30.55794683141584,11.111111111111116
