DATE,DTB3,3m growth rate,12m growth rate
2019-06-25,2.07,-42.7766138066487,8.947368421052637
2019-06-26,2.1,-39.38650159840038,11.111111111111116
2019-06-27,2.09,-43.43901368135591,9.424083769633507
2019-06-28,2.08,-43.58320987654321,10.052910052910068
2019-07-01,2.16,-34.389999999999965,13.684210526315809
2019-07-02,2.15,-36.65889005649571,13.157894736842103
2019-07-03,2.16,-36.53218594661348,13.684210526315809
2019-07-05,2.18,-31.926041184413545,14.136125654450282
2019-07-08,2.21,-28.100788453655458,15.706806282722518
2019-07-09,2.21,-28.100788453655458,16.315789473684216
2019-07-10,2.15,-34.511923312023626,13.157894736842103
2019-07-11,2.12,-40.12089872246944,12.169312169312185
2019-07-12,2.1,-42.34871276603622,10.526315789473696
2019-07-15,2.11,-41.24272436633159,11.05263157894736
2019-07-16,2.1,-41.381835937499964,11.111111111111116
2019-07-17,2.09,-43.43901368135591,10.582010582010582
2019-07-18,2.01,-51.61440796095968,6.349206349206349
2019-07-19,2.02,-50.64430094265292,3.589743589743599
2019-07-22,2.04,-47.799374999999976,5.154639175257736
2019-07-23,2.02,-49.81655044367284,5.208333333333348
2019-07-24,2.05,-46.76828266661845,6.217616580310881
2019-07-25,2.06,-44.80785439356693,5.641025641025643
2019-07-26,2.08,-44.5137761606152,6.666666666666665
2019-07-29,2.07,-46.46720512480192,7.253886010362698
2019-07-30,2.04,-50.32983813099261,5.154639175257736
2019-07-31,2.04,-48.660397782866326,5.154639175257736
2019-08-01,2.03,-49.65967890601838,2.525252525252508
2019-08-02,2.02,-50.64430094265292,2.020202020202011
2019-08-05,2.0,-50.96249348200743,2.0408163265306145
2019-08-06,2.01,-49.12828236051895,2.5510204081632626
2019-08-07,1.98,-49.60478388648766,1.538461538461533
2019-08-08,1.98,-52.09807870858915,1.0204081632652962
2019-08-09,1.96,-53.22315767377058,-1.0101010101010055
2019-08-12,1.96,-54.7693653420112,-0.5076142131979711
2019-08-13,1.96,-54.7693653420112,0.512820512820511
2019-08-14,1.92,-58.35016252796545,-2.0408163265306145
2019-08-15,1.87,-61.88827571845062,-6.965174129353214
2019-08-16,1.83,-64.45234350090313,-8.040201005025127
2019-08-19,1.9,-59.38311852985709,-4.522613065326642
2019-08-20,1.9,-59.38311852985709,-4.040404040404044
2019-08-21,1.93,-57.47565506707877,-2.0304568527918843
2019-08-22,1.96,-54.00438213143999,-2.970297029702973
2019-08-23,1.93,-56.75644318424313,-4.455445544554459
2019-08-26,1.96,-54.7693653420112,-2.970297029702973
2019-08-27,1.94,-55.10339148533209,-3.960396039603964
2019-08-28,1.95,-55.68539917324561,-2.985074626865658
2019-08-29,1.95,-56.41937255859375,-3.9408866995073843
2019-08-30,1.95,-55.68539917324561,-4.4117647058823595
2019-09-03,1.94,-55.85321398069107,-4.433497536945808
2019-09-04,1.93,-56.02196181870032,-4.92610837438423
2019-09-05,1.93,-57.47565506707877,-3.980099502487555
2019-09-06,1.92,-57.64574114122068,-5.418719211822653
2019-09-09,1.92,-57.64574114122068,-5.882352941176472
2019-09-10,1.91,-60.548338452512375,-6.829268292682922
2019-09-11,1.92,-57.64574114122068,-5.882352941176472
2019-09-12,1.91,-59.21111203775313,-6.829268292682922
2019-09-13,1.92,-57.64574114122068,-7.692307692307699
2019-09-16,1.95,-54.93590879195944,-6.698564593301426
2019-09-17,1.95,-54.93590879195944,-6.698564593301426
2019-09-18,1.91,-58.52125184222573,-7.729468599033817
2019-09-19,1.89,-58.866164700331616,-8.695652173913038
2019-09-20,1.87,-60.57983713280266,-10.526315789473673
2019-09-23,1.9,-58.6932506104955,-9.523809523809534
2019-09-24,1.88,-59.04000000000001,-10.047846889952151
2019-09-25,1.85,-60.93179265442554,-11.904761904761907
2019-09-26,1.79,-65.75882223855938,-15.165876777251174
2019-09-27,1.76,-67.9972542210798,-16.58767772511848
2019-09-30,1.84,-61.10913453255984,-13.207547169811317
2019-10-01,1.78,-65.34801883462866,-15.63981042654028
2019-10-02,1.75,-66.48487444656071,-17.452830188679247
2019-10-03,1.67,-73.15187599671974,-21.5962441314554
2019-10-04,1.68,-72.5030079982355,-21.126760563380277
2019-10-07,1.71,-70.98912969847385,-19.339622641509436
2019-10-08,1.68,-71.53404340321825,-21.126760563380277
2019-10-09,1.66,-72.86555093785398,-22.429906542056088
2019-10-10,1.65,-73.51350856379159,-24.311926605504595
2019-10-11,1.65,-73.51350856379159,-23.963133640552993
2019-10-15,1.64,-73.23076229341017,-24.07407407407408
2019-10-16,1.63,-71.45493965699245,-23.83177570093459
2019-10-17,1.63,-71.96126963286936,-24.18604651162791
2019-10-18,1.63,-70.93712862600358,-25.570776255707763
2019-10-21,1.64,-68.5515726219421,-25.114155251141558
2019-10-22,1.62,-67.15986265475435,-26.027397260273965
2019-10-23,1.62,-67.76659251006419,-25.688073394495415
2019-10-24,1.64,-67.9705546744832,-24.770642201834868
2019-10-25,1.63,-68.16451414375592,-26.24434389140272
2019-10-28,1.62,-66.53878977939317,-27.35426008968609
2019-10-29,1.6,-65.65252736642191,-27.927927927927932
2019-10-30,1.59,-65.18975215246788,-28.69955156950672
2019-10-31,1.51,-72.22497558807451,-33.48017621145375
2019-11-01,1.49,-73.15498247466772,-34.070796460176986
2019-11-04,1.5,-73.9691795085381,-33.920704845814974
2019-11-05,1.53,-71.28025504629431,-32.59911894273127
2019-11-06,1.53,-70.72395652471015,-32.30088495575221
2019-11-07,1.53,-74.82608748070989,-33.47826086956521
2019-11-08,1.52,-75.01838493670733,-33.624454148471614
2019-11-12,1.56,-72.79282883706753,-31.877729257641917
2019-11-13,1.54,-75.0966995099915,-32.751091703056765
2019-11-14,1.54,-76.42162945227453,-32.456140350877185
2019-11-15,1.54,-76.42162945227453,-33.04347826086956
2019-11-18,1.54,-73.67738427594936,-32.751091703056765
2019-11-19,1.54,-72.15549898035367,-32.751091703056765
2019-11-20,1.54,-71.07950617283952,-32.15859030837004
2019-11-21,1.55,-70.87962445346905,-32.01754385964911
2019-11-22,1.55,-70.32097608506743,-33.189655172413794
2019-11-25,1.58,-67.33796774357546,-31.601731601731597
2019-11-26,1.57,-62.776742216726376,-32.32758620689654
2019-11-27,1.59,-61.61310193057972,-30.869565217391294
2019-11-29,1.56,-65.80380982028471,-32.467532467532465
2019-12-02,1.57,-63.50838100028078,-32.9059829059829
2019-12-03,1.54,-68.15307983937777,-33.90557939914163
2019-12-04,1.52,-70.35813873371634,-34.482758620689644
2019-12-05,1.51,-72.22497558807451,-34.63203463203464
2019-12-06,1.5,-72.42702326422486,-35.89743589743589
2019-12-09,1.51,-69.98162909119404,-35.470085470085465
2019-12-10,1.53,-68.359375,-35.16949152542372
2019-12-11,1.54,-66.87935912317734,-34.7457627118644
2019-12-12,1.53,-67.0875474884053,-35.44303797468354
2019-12-13,1.54,-64.846959,-34.7457627118644
2019-12-16,1.54,-65.5413186794857,-34.468085106382986
2019-12-17,1.53,-64.34627074653372,-34.051724137931025
2019-12-18,1.53,-64.34627074653372,-34.051724137931025
2019-12-19,1.54,-61.88827571845065,-34.18803418803418
2019-12-20,1.55,-60.888676965497154,-34.87394957983193
2019-12-23,1.56,-59.86954276478929,-33.89830508474576
2019-12-24,1.55,-57.5261256577056,-34.04255319148937
2019-12-26,1.55,-52.79800369725838,-34.59915611814346
2019-12-27,1.54,-49.84912387841784,-35.02109704641351
2019-12-30,1.54,-56.84128758987421,-35.56485355648535
2019-12-31,1.52,-59.03999999999999,-36.1344537815126
2020-01-02,1.51,-62.53044346147105,-36.28691983122363
2020-01-03,1.49,-66.60197478791983,-36.86440677966102
2020-01-06,1.53,-60.505512076136505,-34.61538461538461
2020-01-07,1.51,-64.77236371374744,-35.74468085106383
2020-01-08,1.51,-63.29705867316374,-35.470085470085465
2020-01-09,1.51,-64.044167904001,-35.470085470085465
2020-01-10,1.51,-64.044167904001,-37.344398340248965
2020-01-13,1.54,-61.100462488561405,-35.56485355648535
2020-01-14,1.54,-60.29218739503824,-34.7457627118644
2020-01-15,1.54,-59.4628093652249,-34.468085106382986
2020-01-16,1.52,-61.52796884619689,-36.66666666666666
2020-01-17,1.53,-59.67625975608826,-35.44303797468354
2020-01-21,1.53,-59.67625975608826,-35.16949152542372
2020-01-22,1.52,-59.8910878725438,-35.864978902953595
2020-01-23,1.52,-60.72018470293208,-36.92946058091287
2020-01-24,1.51,-60.93621507399811,-37.344398340248965
2020-01-27,1.52,-60.72018470293208,-36.66666666666666
2020-01-28,1.54,-61.100462488561405,-35.29411764705882
2020-01-29,1.53,-62.10104128006723,-35.71428571428571
2020-01-30,1.54,-57.738061435744925,-35.83333333333333
2020-01-31,1.52,-58.16621740642838,-36.66666666666666
2020-02-03,1.54,-54.00438213144001,-35.29411764705882
2020-02-04,1.54,-56.84128758987421,-35.02109704641351
2020-02-05,1.54,-54.975231731336535,-34.7457627118644
2020-02-06,1.54,-51.98289530088398,-35.29411764705882
2020-02-07,1.53,-46.62306903659075,-35.16949152542372
2020-02-10,1.55,-39.844391888408126,-33.189655172413794
2020-02-11,1.54,-50.93050467720956,-34.18803418803418
2020-02-12,1.55,-42.50278841251463,-34.59915611814346
2020-02-13,1.56,-36.85394861474385,-34.17721518987342
2020-02-14,1.55,-25.790260327034865,-34.59915611814346
2020-02-18,1.55,-27.541445520184148,-34.32203389830508
2020-02-19,1.55,-32.49400372380309,-34.04255319148937
2020-02-20,1.55,-27.541445520184148,-34.59915611814346
2020-02-21,1.53,-27.83387751433515,-35.44303797468354
2020-02-24,1.5,-31.698654463492904,-36.708860759493675
2020-02-25,1.5,-31.698654463492904,-36.708860759493675
2020-02-26,1.5,-30.017469187946176,-36.97478991596639
2020-02-27,1.42,-42.40258932305847,-40.833333333333336
2020-02-28,1.25,-65.4148523245811,-47.47899159663865
2020-03-02,1.1,-79.2594474141365,-53.97489539748954
2020-03-03,0.93,-89.6591461059074,-60.924369747899156
2020-03-04,0.71,-96.31045053931054,-70.16806722689076
2020-03-05,0.61,-97.98970736354111,-74.68879668049793
2020-03-06,0.45,-99.43314150042237,-81.25
2020-03-09,0.32,-99.85145792180674,-86.66666666666667
2020-03-10,0.43,-99.50362058355154,-82.15767634854771
