DATE,IC4WSA,3m growth rate,12m growth rate
2015-06-13,275750,-24.682613751666928,-11.618589743589746
2015-06-20,273750,-13.673695223153072,-12.957074721780604
2015-06-27,273750,-10.247534617283929,-12.67942583732058
2015-07-04,277250,-8.207638025059483,-10.492332526230829
2015-07-11,281250,-6.4796783262416335,-8.75912408759124
2015-07-18,279250,-9.111571440409394,-7.838283828382842
2015-07-25,277750,-6.226426121230089,-7.953603976801993
2015-08-01,272250,-4.635850266724995,-9.250000000000004
2015-08-08,269500,-1.833972451582766,-10.241465445462117
2015-08-15,273000,-1.091394971963222,-9.752066115702485
2015-08-22,274250,-2.1581939845066844,-9.113504556752282
2015-08-29,276500,-1.4336685677181271,-8.971193415637856
2015-09-05,276250,0.7272697329164801,-8.9035449299258
2015-09-12,272500,-1.814011892975376,-9.015025041736225
2015-09-19,271250,-3.603231344461277,-9.052808046940486
2015-09-26,269500,-10.72109422420634,-8.644067796610166
2015-10-03,268000,-17.554102201704367,-8.06174957118353
2015-10-10,268250,-14.849697450835963,-7.42018981880932
2015-10-17,267000,-14.605721205638057,-7.452339688041598
2015-10-24,265000,-10.233985797172927,-8.225108225108224
2015-10-31,267000,-3.6592623226814447,-6.479859894921192
2015-11-07,269750,-4.677543612872192,-6.336805555555558
2015-11-14,271750,-3.5967520600549308,-5.887445887445885
2015-11-21,271000,-7.722329823565966,-7.112253641816624
2015-11-28,268500,-10.758263293135917,-8.82852292020373
2015-12-05,269500,-4.331480837583312,-8.488964346349748
2015-12-12,268500,-3.994044849163703,-8.283518360375751
2015-12-19,268250,-1.842419591360489,-6.2062937062937085
2015-12-26,271000,4.5533583660494426,-4.7451669595782064
2016-01-02,269250,1.4995052505203166,-5.609114811568794
2016-01-09,273250,9.697223893702445,-5.69456427955134
2016-01-16,280750,25.978247923114537,-4.911092294665542
2016-01-23,279000,19.22621794780972,-3.5436473638720822
2016-01-30,281250,18.1746462827042,-1.660839160839156
2016-02-06,276750,7.565328324931819,-2.7240773286467457
2016-02-13,269750,-1.8322923097046415,-4.088888888888887
2016-02-20,270000,2.253432719261994,-7.613344739093241
2016-02-27,266750,-4.019582592703552,-11.452282157676352
2016-03-05,264000,-6.5372517210584125,-12.0
2016-03-12,264250,-5.832495526149339,-12.282157676348548
2016-03-19,262750,-11.632262599375744,-11.233108108108103
2016-03-26,263250,-8.620101453372076,-7.306338028169012
2016-04-02,267750,-7.811396643727231,-4.800000000000004
2016-04-09,267750,-17.274603331214912,-5.4721977052074156
2016-04-16,266000,-17.375330858130443,-6.99300699300699
2016-04-23,263000,-23.536729555690663,-8.041958041958042
2016-04-30,264250,-16.879247607361147,-6.377325066430473
2016-05-07,270750,1.4911206078986217,-1.7241379310344862
2016-05-14,276250,9.585751480482418,2.031394275161591
2016-05-21,278250,18.39216968944668,1.6438356164383494
2016-05-28,274500,16.883629152141523,-0.4533091568449721
2016-06-04,268500,6.590175242773588,-3.2432432432432434
2016-06-11,267000,6.628707922083277,-3.1731640979147824
2016-06-18,265500,3.4628845137376185,-3.013698630136985
2016-06-25,265250,-3.682843604472719,-3.1050228310502304
2016-07-02,262750,-7.263013190353895,-5.229936880072139
2016-07-09,257500,-12.182233572927338,-8.444444444444443
2016-07-16,257250,-8.46260693894405,-7.8782452999104695
2016-07-23,257750,-9.48204954786781,-7.200720072007205
2016-07-30,260500,-14.30469094960809,-4.315886134067948
2016-08-06,263750,-16.90771032841001,-2.1335807050092748
2016-08-13,264750,-18.03976723975752,-3.0219780219780223
2016-08-20,264750,-13.468450623459104,-3.4639927073837784
2016-08-27,263500,-7.243293874092005,-4.7016274864376095
2016-09-03,261500,-7.988581230493974,-5.339366515837107
2016-09-10,258500,-10.136343035863904,-5.137614678899083
2016-09-17,255000,-14.584015394573424,-5.990783410138246
2016-09-24,251500,-16.057662472345434,-6.679035250463827
2016-10-01,248500,-13.264549453326811,-7.276119402985071
2016-10-08,248000,-13.625570962468736,-7.548928238583407
2016-10-15,251250,-9.712092936444828,-5.89887640449438
2016-10-22,253500,-10.32302623861232,-4.3396226415094326
2016-10-29,258500,-7.727493817684616,-3.183520599250933
2016-11-05,258500,-9.11372280312489,-4.170528266913809
2016-11-12,250750,-19.532614325460496,-7.727690892364302
2016-11-19,248250,-21.21663064751596,-8.394833948339485
2016-11-26,245750,-22.001305600832957,-8.472998137802612
2016-12-03,245250,-18.979694861779738,-8.998144712430422
2016-12-10,250250,-7.245364550051814,-6.797020484171323
2016-12-17,253750,3.6268378883084207,-5.405405405405405
2016-12-24,254250,9.581760684851837,-6.180811808118081
2016-12-31,253250,8.74044171643047,-5.942432683379762
2017-01-07,251000,-0.3974162995083574,-8.142726440988103
2017-01-14,247000,-9.868632915211595,-12.021371326803209
2017-01-21,246250,-17.650158624121893,-11.738351254480284
2017-01-28,246500,-17.31523341752581,-12.355555555555553
2017-02-04,245000,-8.861774026198809,-11.47244805781391
2017-02-11,244750,-5.521329509394645,-9.267840593141797
2017-02-18,243250,-4.007502809937902,-9.907407407407408
2017-02-25,239750,-8.673166670667031,-10.121836925960636
2017-03-04,242000,-12.54893167201363,-8.333333333333337
2017-03-11,242250,-16.9325384311692,-8.32544938505203
2017-03-18,244000,-15.176642469580148,-7.136060894386298
2017-03-25,250250,-4.654867092061754,-4.938271604938271
2017-04-01,248000,-4.695844499596169,-7.376283846872078
2017-04-08,246500,-0.8072612618909458,-7.936507936507942
2017-04-15,243250,-4.784765996188611,-8.552631578947366
2017-04-22,242250,-6.720233895721794,-7.889733840304181
2017-04-29,243250,-2.826676124531436,-7.947019867549665
2017-05-06,243000,-2.8295324307829883,-10.24930747922438
2017-05-13,241750,-2.4438764003648417,-12.48868778280543
2017-05-20,237250,-4.106223803485642,-14.734950584007189
2017-05-27,239750,-3.6674626684844,-12.659380692167577
2017-06-03,241500,-1.2326509161555088,-10.05586592178771
2017-06-10,241500,-4.035802693203028,-9.55056179775281
2017-06-17,243750,-9.991784210077304,-8.192090395480223
2017-06-24,240250,-11.92617416381836,-9.425070688030157
2017-07-01,241000,-8.630662520627153,-8.277830637488105
2017-07-08,242500,-1.22760694046119,-5.825242718446599
2017-07-15,242000,-0.4121581329684765,-5.928085519922255
2017-07-22,244000,1.2390146580990136,-5.334626576139668
2017-07-29,242750,-0.4108880034132456,-6.813819577735125
2017-08-05,243250,2.5050978966675297,-7.772511848341235
2017-08-12,242000,8.252162182421996,-8.593012275731827
2017-08-19,240750,1.678872046186819,-9.065155807365443
2017-08-26,239750,-2.8671966656021453,-9.013282732447813
