DATE,DTWEXM,3m growth rate,12m growth rate
1982-07-06,119.6166,31.109223308580525,11.824239681999549
1982-07-07,120.3334,33.773098901897654,13.03007475009721
1982-07-08,120.0277,33.52813444928597,13.037995545447266
1982-07-09,119.108,30.702466586465004,11.76241525721926
1982-07-12,118.3829,28.64965613137538,10.276784408485451
1982-07-13,119.2429,36.67365400918059,11.095800561614567
1982-07-14,119.0399,35.14289463220099,10.798796327925242
1982-07-15,118.8479,29.9985679830056,10.338997842386522
1982-07-16,118.2996,28.391402173675107,9.179508146037074
1982-07-19,118.1321,25.63006218848836,9.1322876355584
1982-07-20,117.6045,21.77133224057666,8.433618298763768
1982-07-21,116.8734,18.836811129881585,7.202550698901411
1982-07-22,117.1243,18.76609393258315,7.638842299997339
1982-07-23,116.0139,14.772058980194602,5.903504255715375
1982-07-26,116.5794,15.886437075070823,6.572556648386452
1982-07-27,117.0857,15.714802457871135,7.580628711456661
1982-07-28,117.7751,16.98787440476266,8.383855673594386
1982-07-29,118.269,19.492303820702706,7.99786321859548
1982-07-30,118.4111,20.752761517851013,8.934957023484147
1982-08-02,117.4589,14.735556545790086,7.891611362435991
1982-08-03,117.8141,14.679537129559296,7.839980228651977
1982-08-04,118.9599,17.42099516517761,8.410575325637538
1982-08-05,118.8698,19.01148025694477,7.577108218933848
1982-08-06,119.1214,17.492621679403353,8.210138858356487
1982-08-09,119.9897,23.32510219161308,8.671950991988385
1982-08-10,120.0674,24.31866617084009,9.178285353680039
1982-08-11,120.1854,22.17142966067136,8.770284909592952
1982-08-12,120.2696,21.2119605559548,8.557935668355166
1982-08-13,119.7737,20.45499172620835,7.815844667884897
1982-08-16,120.1454,19.377549636805867,8.029852088297428
1982-08-17,119.6247,17.955219851778725,6.897389865253101
1982-08-18,118.535,14.42851441732924,4.165110509836523
1982-08-19,118.6202,16.552733967313205,4.050525207780531
1982-08-20,117.3514,10.629109341387831,3.842617705331164
1982-08-23,117.3877,10.282977585184884,3.9181421667698
1982-08-24,116.2273,6.409499920394546,3.1458300978412845
1982-08-25,116.3319,9.33804128172564,2.622553127674032
1982-08-26,116.8184,12.276699055291518,3.3921991898089754
1982-08-27,118.0049,17.30167339082973,6.133258263660046
1982-08-30,119.3606,22.597958221568582,6.868811493353411
1982-08-31,119.0863,22.591985735923515,6.321927335646316
1982-09-01,118.7277,24.065386033756788,7.060850840506627
1982-09-02,117.8128,20.40677741835937,6.674200053059676
1982-09-03,118.36,24.26381642593185,7.090250408057641
1982-09-07,118.36,26.34578075977354,7.715157295435837
1982-09-08,118.7915,29.013660524826943,8.835051791967242
1982-09-09,118.4608,27.336534928774704,7.954358014914487
1982-09-10,119.5918,30.227592451501728,7.917013706220022
1982-09-13,119.9598,36.165019286921016,8.951948804487419
1982-09-14,119.7099,37.08184629889671,8.57026509088039
1982-09-15,119.744,39.12075805833823,9.405207857469167
1982-09-16,119.6651,38.73230370318952,9.245883141283251
1982-09-17,119.4451,37.25423623900102,8.669932812023795
1982-09-20,119.5866,36.50906231586619,9.445890971990245
1982-09-21,119.6367,34.516822098961164,9.666179920195583
1982-09-22,119.1548,31.454233762057072,9.38195945089988
1982-09-23,119.6805,32.83197284828108,8.848446815186705
1982-09-24,120.0549,33.07145265738474,8.84781964185497
1982-09-27,121.0253,35.7494969141769,10.812590073633777
1982-09-28,121.1762,37.08537311323292,10.682300415322832
1982-09-29,120.7215,36.54351930900499,10.717813405383403
1982-09-30,120.7381,36.852788237845125,12.141969472086656
1982-10-01,120.7337,34.69753660319079,12.471331076461034
1982-10-04,121.8811,38.5642134986315,13.974889841476458
1982-10-05,121.9465,34.80024988233339,14.190883569712277
1982-10-06,121.8157,33.55837104283632,15.374459311119516
1982-10-12,119.506,20.791240253608635,11.874586927338537
1982-10-13,120.5173,25.43226517899406,12.222278092513772
1982-10-14,120.8886,28.46375110183368,11.964575476241635
1982-10-15,121.1194,28.47861532403735,11.92798573909155
1982-10-18,120.8459,24.54472192791235,10.877970456005137
1982-10-19,120.7637,21.676883780094023,11.467736635542302
1982-10-20,121.3298,21.04781317435565,11.660143254319234
1982-10-21,121.6927,22.343820953407945,12.085617548668527
1982-10-22,121.7289,24.280275207906637,12.638208135970252
1982-10-25,122.6022,21.174929016201126,14.912270835676523
1982-10-26,122.4213,19.59356128626308,13.838132486763044
1982-10-27,122.3822,16.748328515894627,14.792251146447999
1982-10-28,122.8649,16.053083187997807,15.572940868822528
1982-10-29,122.8289,14.211503916685997,16.19838760640342
1982-11-01,122.5631,10.320959947548914,14.92829822088817
1982-11-03,122.5379,13.309140666426275,14.70933220500501
1982-11-04,123.1414,13.25728148683849,14.933965522069048
1982-11-05,122.9807,16.02671697586089,14.428433321950717
1982-11-08,123.3584,13.42508163862528,14.712837570801419
1982-11-09,122.4092,8.050122305378316,13.62718233192981
1982-11-10,121.9878,10.21778849260957,12.445350242380826
1982-11-12,122.4177,12.806686279100552,12.665384332204388
1982-11-15,122.4157,12.4176203344756,12.99538753647187
1982-11-16,121.8478,9.360274404923285,11.255802571940944
1982-11-17,121.9807,8.143063923933823,11.673156025674247
1982-11-18,121.8262,5.055317710559737,11.947504419964638
1982-11-19,120.6444,2.0710858912714736,11.210932638904891
1982-11-22,120.5532,4.94246051878422,11.951413169148495
1982-11-23,120.9679,9.024641467996176,13.443424537290593
1982-11-24,119.8919,2.1949070092279754,12.882038303397337
1982-11-26,119.863,2.794613885201813,12.432873551358469
1982-11-29,119.4717,2.1160775751678296,12.170310170389032
1982-11-30,118.8069,1.7263709898641677,12.244311820774767
1982-12-01,118.7922,2.253928989184528,11.265323402469729
1982-12-02,118.431,2.840889924966339,11.84479552586819
1982-12-03,117.7796,3.1377342511711204,11.209771536698021
1982-12-06,118.0463,3.186167835657882,11.514241773854694
1982-12-07,117.6988,5.937088705532845,11.001627788979707
1982-12-08,117.6827,3.839653980812496,11.836981002974522
1982-12-09,118.5732,5.179411221175734,12.708417495615642
1982-12-10,118.2673,1.6821690596652727,12.28967162093133
1982-12-13,119.1241,2.923567475917732,13.392559678491
1982-12-14,118.0902,-1.0796213282393108,13.147574502986048
1982-12-15,118.4072,3.2687043115186,13.48490570016121
1982-12-16,117.7051,-0.369561284453912,13.320721293167349
1982-12-17,117.8806,-3.580030662211686,13.743191412374856
1982-12-20,117.7082,-3.851891253397522,13.007429936914194
1982-12-21,117.3209,-5.910234100328282,12.965623357090706
1982-12-22,117.0415,-9.471849827179458,12.0142982926269
1982-12-23,116.7514,-10.597850050433289,11.9719876779542
1982-12-24,116.6757,-11.179173997539294,11.37300832751058
1982-12-27,116.4467,-12.120965712488108,10.853899083442187
1982-12-28,115.7857,-12.667912926357085,10.18447234818025
1982-12-29,115.429,-14.80165818194582,9.376436152622336
1982-12-30,115.7763,-12.260487268138554,9.304180843872611
1982-12-31,115.5967,-9.552757945057545,8.442936373324518
1983-01-03,115.1227,-11.282507418020405,8.931573992155828
1983-01-04,114.6756,-8.813408141170797,8.323304762138672
1983-01-05,114.3217,-10.04520425642581,8.007372961901327
1983-01-06,114.5714,-5.578198234205201,7.9791640552622
1983-01-07,114.1872,-7.172979802775393,7.613317651316387
1983-01-10,113.8025,-9.933726071591275,7.63318131347428
1983-01-11,114.2368,-12.173828432582102,7.838321058325315
