DATE,AHETPI,3m growth rate,12m growth rate
1986-10-01,8.96,2.2636342165261336,1.9340159271900026
1986-11-01,9.01,3.1689685749559,2.2701475595913623
1986-12-01,9.01,3.1689685749559,1.5783540022547893
1987-01-01,9.02,2.705597035937401,1.9209039548022666
1987-02-01,9.05,1.7876652583692645,1.9144144144144226
1987-03-01,9.07,2.69043281924608,2.0247469066366763
1987-04-01,9.08,2.687420349987124,2.2522522522522515
1987-05-01,9.11,2.6784232811576603,2.359550561797752
1987-06-01,9.11,1.7757612979974136,2.130044843049328
1987-07-01,9.12,1.7737927003277365,2.3569023569023573
1987-08-01,9.18,3.109152429010531,2.684563758389258
1987-09-01,9.19,3.5591644282339407,2.796420581655479
1987-10-01,9.22,4.458631260080348,2.9017857142857206
1987-11-01,9.27,3.979616607104486,2.885682574916748
1987-12-01,9.28,3.975222723128202,2.9966703662597016
1988-01-01,9.29,3.0716365551922697,2.9933481152993213
1988-02-01,9.29,0.865795817268622,2.6519337016574385
1988-03-01,9.31,1.2993874100502456,2.6460859977949225
1988-04-01,9.36,3.048230575240174,3.083700440528636
1988-05-01,9.41,5.267822071606232,3.2930845225027428
1988-06-01,9.41,4.366175680796691,3.2930845225027428
1988-07-01,9.45,3.9019836722825607,3.6184210526315708
1988-08-01,9.46,2.1423985444588567,3.0501089324618924
1988-09-01,9.51,4.3190381375005416,3.482045701849845
1988-10-01,9.56,4.738014082166986,3.6876355748373113
1988-11-01,9.58,5.171360186296892,3.3441208198489836
1988-12-01,9.6,3.8395660222160233,3.4482758620689724
1989-01-01,9.65,3.819201496389724,3.8751345532831216
1989-02-01,9.68,4.241197765590221,4.1980624327233595
1989-03-01,9.7,4.23222412297759,4.189044038668088
1989-04-01,9.75,4.209955254236486,4.166666666666674
1989-05-01,9.74,2.502485949675348,3.506907545164717
1989-06-01,9.77,2.917995215729796,3.825717321997879
1989-07-01,9.83,3.322667173866156,4.0211640211640365
1989-08-01,9.83,3.747644164687425,3.9112050739957605
1989-09-01,9.87,4.157454057675025,3.785488958990535
1989-10-01,9.92,3.712861599292938,3.765690376569042
1989-11-01,9.93,4.131691401316062,3.653444676409179
1989-12-01,9.98,4.533033709020429,3.9583333333333526
1990-01-01,10.02,4.09364049696006,3.83419689119171
1990-02-01,10.07,5.7598651114842525,4.028925619834722
1990-03-01,10.11,5.313114634761451,4.226804123711347
1990-04-01,10.12,4.05217528775661,3.7948717948717903
1990-05-01,10.16,3.623188051069692,4.312114989733051
1990-06-01,10.2,3.608661860190932,4.401228249744116
1990-07-01,10.22,4.011541573589517,3.967446592065116
1990-08-01,10.24,3.187002033995378,4.170905391658186
1990-09-01,10.28,3.174357149181506,4.154002026342463
1990-10-01,10.3,3.168072257253152,3.8306451612903247
1990-11-01,10.32,3.161812201142311,3.92749244712991
1990-12-01,10.34,2.3551493676369217,3.607214428857719
1991-01-01,10.38,3.143179584351685,3.592814371257491
1991-02-01,10.39,2.7409083468329154,3.1777557100297837
1991-03-01,10.41,2.735553009249969,2.9673590504451175
1991-04-01,10.46,3.1186750148163744,3.359683794466428
1991-05-01,10.49,3.905793321204309,3.2480314960629864
1991-06-01,10.51,3.898181447029248,3.039215686274521
1991-07-01,10.54,3.0945495430696246,3.131115459882561
1991-08-01,10.56,2.6960453593035005,3.125
1991-09-01,10.58,2.690863723375436,2.9182879377432025
1991-10-01,10.59,1.911078330485938,2.8155339805825186
1991-11-01,10.61,1.9074331781341325,2.8100775193798277
1991-12-01,10.64,2.287800732644718,2.9013539651837617
1992-01-01,10.64,1.9019914470981725,2.5048169556840083
1992-02-01,10.67,2.281277108392721,2.6948989412896918
1992-03-01,10.69,1.8929905658959576,2.6897214217098897
1992-04-01,10.72,3.04160852349078,2.48565965583174
1992-05-01,10.74,2.6501167738210984,2.3832221163012424
1992-06-01,10.77,3.027222612030811,2.473834443387246
1992-07-01,10.79,2.637635221170353,2.371916508538896
1992-08-01,10.81,2.6326754565284998,2.367424242424243
1992-09-01,10.82,1.869982110230839,2.2684310018903586
1992-10-01,10.85,2.242903475706437,2.455146364494798
1992-11-01,10.87,2.238719276871337,2.4505183788878337
1992-12-01,10.89,2.613021521131253,2.3496240601503793
1993-01-01,10.93,2.9820884739087505,2.725563909774431
1993-02-01,10.95,2.976541154279944,2.6241799437675573
1993-03-01,10.99,3.7239986075672022,2.8063610851262855
1993-04-01,10.99,2.213938283942918,2.518656716417911
1993-05-01,11.01,2.209861355849463,2.5139664804469275
1993-06-01,11.03,1.4638366047876383,2.41411327762302
1993-07-01,11.05,2.201752378270005,2.4096385542168752
1993-08-01,11.07,2.197720164417816,2.4051803885291267
1993-09-01,11.1,2.562799211073141,2.5878003696857554
1993-10-01,11.13,2.927528654058986,2.580645161290329
1993-11-01,11.15,2.9221822685086,2.575896964121438
1993-12-01,11.18,2.9141992021305185,2.662993572084482
1994-01-01,11.2,2.5395561757370237,2.4702653247941297
1994-02-01,11.25,3.635994730442405,2.7397260273972712
1994-03-01,11.25,2.528092036982299,2.3657870791628843
1994-04-01,11.27,2.523535308837932,2.547770700636942
