DATE,HTRUCKSSA,3m growth rate,12m growth rate
1990-04-01,22.7,-29.80653108858483,-16.23616236162362
1990-05-01,23.2,-22.16693614850501,-14.074074074074073
1990-06-01,23.5,-1.6841728870977346,-11.654135338345872
1990-07-01,24.3,31.31721562415024,-4.70588235294117
1990-08-01,23.1,-1.7130224858803,-11.494252873563216
1990-09-01,22.7,-12.937330419754913,-8.835341365461847
1990-10-01,22.2,-30.339465345107254,-14.28571428571428
1990-11-01,21.4,-26.34416219012884,-15.07936507936508
1990-12-01,21.4,-21.01371923766584,-7.359307359307376
1991-01-01,19.5,-40.47127954855532,-21.370967741935488
1991-02-01,19.5,-31.05808350568597,-21.052631578947366
1991-03-01,19.3,-33.84325295398174,-18.220338983050855
1991-04-01,17.7,-32.11800147053675,-22.02643171806168
1991-05-01,18.1,-25.77061642808266,-21.982758620689648
1991-06-01,17.8,-27.647961259738477,-24.255319148936174
1991-07-01,19.2,38.45602190113837,-20.98765432098766
1991-08-01,17.7,-8.55104102582832,-23.376623376623385
1991-09-01,18.1,6.913929106389394,-20.264317180616732
1991-10-01,16.9,-39.97365449681696,-23.873873873873876
1991-11-01,17.7,0.0,-17.28971962616822
1991-12-01,19.8,43.20113546255977,-7.476635514018682
1992-01-01,18.7,49.90620428037067,-4.10256410256411
1992-02-01,19.1,35.593978459480915,-2.051282051282044
1992-03-01,19.4,-7.839216404823546,0.5181347150258864
1992-04-01,20.0,30.84392291568747,12.994350282485879
1992-05-01,19.8,15.48545561019463,9.392265193370154
1992-06-01,18.9,-9.917527668049177,6.179775280898858
1992-07-01,21.1,23.882465062500067,9.895833333333348
1992-08-01,21.1,28.964167842525224,19.209039548022623
1992-09-01,22.0,83.58766854790353,21.54696132596685
1992-10-01,23.9,64.61211032539376,41.42011834319528
1992-11-01,21.7,11.868834699553243,22.598870056497166
1992-12-01,22.5,9.40554884399971,13.636363636363624
1993-01-01,22.0,-28.20418670700705,17.647058823529417
1993-02-01,22.6,17.65078281535366,18.324607329842934
1993-03-01,23.7,23.101490567901184,22.164948453608257
1993-04-01,24.4,51.31033126152587,21.999999999999996
1993-05-01,25.6,64.63649233795326,29.292929292929305
1993-06-01,25.1,25.80604278563956,32.80423280423281
1993-07-01,25.7,23.075947527537323,21.80094786729856
1993-08-01,25.7,1.5716791385784743,21.80094786729856
1993-09-01,26.2,18.7162799773259,19.090909090909093
1993-10-01,25.7,0.0,7.531380753138084
1993-11-01,28.6,53.36689996719135,31.79723502304148
1993-12-01,27.1,14.46481171127376,20.444444444444443
1994-01-01,28.7,55.52316777770616,30.454545454545446
1994-02-01,27.2,-18.189040987529648,20.353982300884944
1994-03-01,27.2,1.484204700050329,14.767932489451475
1994-04-01,27.8,-11.965764577683837,13.934426229508201
1994-05-01,27.3,1.4787179922669536,6.640625
1994-06-01,28.8,25.688150285556933,14.741035856573692
1994-07-01,29.4,25.08641276465118,14.396887159533067
1994-08-01,30.8,62.01390050578337,19.844357976653693
1994-09-01,30.3,22.51818739337683,15.64885496183206
1994-10-01,31.4,30.115570616390475,22.178988326848238
1994-11-01,32.5,23.973989736496076,13.636363636363624
1994-12-01,32.3,29.13369420164509,19.188191881918804
1995-01-01,36.5,82.57985823546888,27.177700348432055
1995-02-01,33.7,15.607539890620137,23.897058823529417
1995-03-01,32.6,3.767250852318327,19.85294117647061
1995-04-01,33.2,-31.548829796887755,19.424460431654687
1995-05-01,32.3,-15.610097360737928,18.315018315018293
1995-06-01,32.4,-2.431497242046976,12.5
1995-07-01,31.1,-23.000266636263323,5.7823129251700855
1995-08-01,30.2,-23.578126114440437,-1.9480519480519543
1995-09-01,31.6,-9.51672950885152,4.290429042904287
1995-10-01,32.5,19.25919892076544,3.5031847133758065
1995-11-01,30.7,6.788805843941792,-5.5384615384615365
1995-12-01,33.4,24.80659555624538,3.4055727554179516
1996-01-01,30.2,-25.441986565736507,-17.260273972602747
1996-02-01,31.0,3.966463995327807,-8.01186943620179
1996-03-01,30.4,-31.370874149454878,-6.748466257668717
1996-04-01,29.5,-8.954121223584345,-11.144578313253017
1996-05-01,30.7,-3.815137923230749,-4.9535603715170184
1996-06-01,32.7,33.87413452559651,0.92592592592593
1996-07-01,31.2,25.12103037616853,0.3215434083601254
1996-08-01,29.8,-11.220733119571314,-1.3245033112582738
1996-09-01,29.2,-36.417090767627656,-7.594936708860766
1996-10-01,28.0,-35.13450310597936,-13.846153846153841
1996-11-01,26.6,-36.51640823585325,-13.355048859934849
1996-12-01,27.8,-17.84239360987181,-16.766467065868262
1997-01-01,29.2,18.27672219908374,-3.31125827814569
1997-02-01,29.6,53.334646998144784,-4.516129032258065
1997-03-01,31.0,54.62068454290754,1.9736842105263275
1997-04-01,30.3,15.941551640139462,2.7118644067796627
1997-05-01,30.9,18.75914806480821,0.6514657980456029
1997-06-01,28.7,-26.5349444029968,-12.23241590214068
1997-07-01,31.2,12.421108198497157,0.0
1997-08-01,31.9,13.58704843549774,7.0469798657718075
1997-09-01,32.1,56.49214475624766,9.931506849315074
1997-10-01,32.9,23.64177060519983,17.500000000000004
1997-11-01,33.7,24.5537682612021,26.691729323308277
1997-12-01,34.6,34.98461293712867,24.460431654676263
1998-01-01,32.4,-5.941846419274366,10.95890410958904
1998-02-01,32.7,-11.351496785218195,10.472972972972983
1998-03-01,33.6,-11.069094492480714,8.387096774193559
1998-04-01,33.5,14.28761961661673,10.561056105610556
1998-05-01,34.0,16.87581640173088,10.032362459546928
1998-06-01,32.7,-10.291436770120166,13.937282229965176
1998-07-01,34.4,11.187135611959231,10.256410256410264
1998-08-01,36.5,32.81764934118363,14.420062695924774
1998-09-01,37.6,74.80762367270954,17.133956386292827
1998-10-01,37.7,44.2552509251531,14.589665653495466
1998-11-01,40.6,53.08501337670884,20.4747774480712
1998-12-01,38.8,13.390200353260797,12.1387283236994
1999-01-01,41.6,48.25451270428584,28.395061728395078
1999-02-01,44.2,40.470440100101456,35.16819571865444
1999-03-01,41.7,33.41888827031853,24.10714285714286
1999-04-01,42.3,6.902570237983441,26.268656716417894
1999-05-01,42.1,-17.692519847320586,23.82352941176471
1999-06-01,42.3,5.8808086741981125,29.357798165137595
1999-07-01,43.1,7.782340760484074,25.290697674418606
1999-08-01,43.3,11.898226169736636,18.63013698630136
1999-09-01,45.5,33.87026316310617,21.01063829787233
1999-10-01,45.4,23.115952891470947,20.424403183023855
1999-11-01,45.7,24.08326566561556,12.561576354679804
1999-12-01,44.1,-11.75120759077063,13.659793814433009
2000-01-01,43.4,-16.490572454145735,4.3269230769230616
2000-02-01,43.5,-17.909627277238936,-1.5837104072398245
2000-03-01,43.4,-6.199628120706979,4.076738609112707
2000-04-01,41.4,-17.19769121430017,-2.127659574468077
2000-05-01,39.6,-31.321039077820544,-5.938242280285033
2000-06-01,43.2,-1.8306152433547496,2.1276595744680993
2000-07-01,38.7,-23.644118445831687,-10.208816705336421
2000-08-01,36.8,-25.42203459704152,-15.011547344110854
2000-09-01,34.1,-61.17758670279378,-25.054945054945055
2000-10-01,33.1,-46.48591365695951,-27.09251101321586
2000-11-01,31.2,-48.331351553203405,-31.72866520787747
2000-12-01,32.6,-16.467999135750755,-26.077097505668934
2001-01-01,33.4,3.674963740110071,-23.04147465437788
2001-02-01,32.8,22.14536700957579,-24.597701149425287
2001-03-01,31.6,-11.716827735357729,-27.188940092165893
2001-04-01,28.4,-47.7257882272755,-31.400966183574887
