DATE,PAYEMS,3m growth rate,12m growth rate
1983-03-01,89090,1.4451729525176038,-1.486166707211889
1983-04-01,89364,1.6917151969160216,-0.8718801996672187
1983-05-01,89644,3.310794589113475,-0.5138335534420224
1983-06-01,90021,4.246023163681456,0.17359372391920758
1983-07-01,90437,4.890025250603958,1.023223601166201
1983-08-01,90129,2.1817420080619154,0.8571780267000895
1983-09-01,91247,5.559918656531138,2.3143424195194218
1983-10-01,91520,4.876806900763864,2.9390261734171697
1983-11-01,91875,7.976985417826921,3.4791521185772556
1983-12-01,92230,4.379318184139103,3.8965427898750793
1984-01-01,92673,5.135368907279569,4.138667265984952
1984-02-01,93157,5.699411286679434,4.768491964416244
1984-03-01,93429,5.302326739450947,4.870355819957339
1984-04-01,93792,4.918071279664438,4.955015442460042
1984-05-01,94098,4.102124967767296,4.9685422337245155
1984-06-01,94479,4.571743668896744,4.95217782517412
1984-07-01,94789,4.320240435853107,4.812189701117897
1984-08-01,95032,4.029834106910868,5.439980472433947
1984-09-01,95344,3.712790777727904,4.490010630486485
1984-10-01,95629,3.592112861195917,4.489729020979016
1984-11-01,95982,4.059013279353385,4.470204081632656
1984-12-01,96107,3.239670827682484,4.203621381329281
1985-01-01,96372,3.1442519303559457,3.9914538215014117
1985-02-01,96503,2.188983070716155,3.591785909808176
1985-03-01,96842,3.0943622776445023,3.6530413469051393
1985-04-01,97038,2.793075466144357,3.460849539406352
1985-05-01,97312,3.395666195126301,3.4155880039958397
1985-06-01,97459,2.5729399776083017,3.154140073455469
1985-07-01,97648,2.5382881477811203,3.016172762662328
1985-08-01,97840,2.188066573253433,2.954794174593811
1985-09-01,98045,2.426893178631273,2.8328998154052654
1985-10-01,98233,2.4179831548784003,2.7230233506572166
1985-11-01,98443,2.488133625810529,2.564022420870571
1985-12-01,98609,2.320914974652144,2.60334835131677
1986-01-01,98732,2.047438609824659,2.448844062590805
1986-02-01,98847,1.6516919359937932,2.4289400329523536
1986-03-01,98934,1.3248699724803137,2.1602197393692846
1986-04-01,99121,1.5853219235469451,2.1465817514787933
1986-05-01,99248,1.6326110293576337,1.9894771456757665
1986-06-01,99155,0.8965233881649937,1.7402189638719978
1986-07-01,99473,1.4280706799744802,1.868957889562517
1986-08-01,99588,1.377362292783757,1.7865903515944304
1986-09-01,99934,3.179782619497118,1.9266663266867212
1986-10-01,100121,2.631304868274986,1.9219610517850372
